ts,rpm,speed,throttle_pos,load,temp,manifold_pressure,intake_air_temp,maf
1558525279922,1036,8.70105655687,16.862745098,46.2745098039,13,282.680639823,13,0.02380968
1558525281521,995,8.70105655687,16.862745098,46.6666666667,14,289.575289575,13,0.02380968
1558525283071,997,10.5655686762,16.862745098,41.9607843137,14,282.680639823,13,0.02380968
1558525284589,1004,10.5655686762,16.862745098,44.3137254902,14,289.575289575,13,0.02380968
1558525286059,1014,10.5655686762,16.862745098,44.3137254902,14,282.680639823,13,0.02380968
1558525287433,990,10.5655686762,16.862745098,45.4901960784,15,289.575289575,13,0.02380968
1558525288808,989,10.5655686762,16.862745098,44.3137254902,15,289.575289575,13,0.02380968
1558525290214,990,8.70105655687,16.862745098,45.4901960784,15,289.575289575,13,0.02380968
1558525291625,982,7.45804847732,16.862745098,45.4901960784,16,289.575289575,13,0.02380968
1558525292994,991,6.21504039776,16.862745098,45.4901960784,16,289.575289575,13,0.02380968
1558525294369,977,4.35052827843,16.862745098,45.4901960784,16,289.575289575,13,0.02380968
1558525295742,993,3.10752019888,16.862745098,44.3137254902,16,289.575289575,13,0.02380968
1558525297139,987,0.0,16.862745098,44.3137254902,16,289.575289575,13,0.02380968
1558525298491,989,0.0,16.862745098,45.4901960784,16,289.575289575,13,0.02380968
1558525299864,1003,0.0,16.862745098,44.3137254902,16,289.575289575,13,0.02380968
1558525301223,961,0.0,16.862745098,54.1176470588,16,351.627137341,13,0.02380968
1558525302582,701,3.10752019888,19.6078431373,63.137254902,16,379.205736349,13,0.02380968
1558525303940,1223,7.45804847732,19.6078431373,36.0784313725,17,296.469939327,13,0.02380968
1558525305314,1542,10.5655686762,19.6078431373,29.8039215686,17,255.102040816,13,0.02380968
1558525306673,1848,13.0515848353,19.6078431373,27.0588235294,18,220.628792057,13,0.02380968
1558525308034,2091,15.5376009944,19.6078431373,24.3137254902,18,172.366243795,13,0.02380968
1558525309421,1151,17.4021131137,16.862745098,51.3725490196,18,275.785990072,13,0.02380968
1558525310795,1031,16.1591050342,16.862745098,48.6274509804,18,282.680639823,13,0.02380968
1558525312186,1004,13.0515848353,16.862745098,47.4509803922,19,282.680639823,13,0.02380968
1558525313578,983,8.70105655687,16.862745098,47.8431372549,19,289.575289575,13,0.02380968
1558525314965,955,11.187072716,16.862745098,45.4901960784,19,289.575289575,13,0.02380968
1558525316342,985,13.6730888751,16.862745098,45.4901960784,19,289.575289575,13,0.02380968
1558525317716,996,13.6730888751,16.862745098,44.3137254902,20,282.680639823,13,0.02380968
1558525319111,975,12.4300807955,16.862745098,48.6274509804,20,296.469939327,13,0.02380968
1558525320495,960,9.94406463642,16.862745098,47.0588235294,21,289.575289575,13,0.02380968
1558525321870,988,5.59353635799,16.862745098,47.0588235294,21,296.469939327,13,0.02380968
1558525323228,1014,4.35052827843,22.7450980392,38.8235294118,21,420.573634859,13,0.02380968
1558525324602,1762,4.97203231821,29.8039215686,32.5490196078,21,392.995035852,13,0.02380968
1558525325961,2356,8.70105655687,16.862745098,36.862745098,21,268.89134032,13,0.02380968
